title,label
"BABI NGEPET DI DEPOK TERTANGKAP CCTV!!! WARGA HEBOH",FAKE
"Presiden Jokowi Meresmikan Jalan Tol Cisumdawu Hari Ini",REAL
"Minum Air Jeruk Nipis Bisa Sembuhkan COVID-19? Cek Faktanya",FAKE
"Kemenkes Rilis Data Terbaru Kasus Demam Berdarah di Jakarta",REAL
"VIRAL!! Awan Berbentuk Lafadz Allah Muncul di Langit Surabaya",FAKE
"Daftar Hari Libur Nasional dan Cuti Bersama Tahun 2026",REAL
"Konspirasi Elite Global!! Vaksin Mengandung Microchip Pelacak",FAKE
"Timnas Indonesia Menang 2-0 Melawan Thailand di Piala AFF",REAL
"Hanya di Rezim Ini, Harga BBM Naik Diam-diam!! Rakyat Menjerit",FAKE
"BMKG Memprediksi Hujan Lebat di Wilayah Jabodetabek Besok",REAL
"MENGGEMPARKAN! Ditemukan Harta Karun Soekarno di Gunung Salak",FAKE
"Polisi Tangkap Pelaku Pencurian Motor di Bekasi Utara",REAL
"AWAS! Makan Mie Instan Campur Nasi Bisa Sebabkan Kematian Mendadak",FAKE
"Pemerintah Salurkan Bantuan Langsung Tunai Tahap 1",REAL
"Ternyata Bumi Itu Datar! NASA Selama Ini Berbohong",FAKE
"Jadwal Lengkap Pertandingan Liga Inggris Pekan Ini",REAL
"Uang Koin 1000 Rupiah Kelapa Sawit Dihargai 50 Juta?? Cek Disini",FAKE
"Harga Emas Antam Hari Ini Turun Rp 5.000 per Gram",REAL
"KABAR DUKA, Artis Terkenal Ini Meninggal Dunia, Padahal Masih Sehat",FAKE
"Laporan Keuangan Kuartal III PT Telkom Indonesia Tbk",REAL
Pemerintah Tetapkan Idul Fitri 1 Syawal 1447 H Jatuh pada Hari Rabu,REAL
Timnas Indonesia Lolos ke Putaran Final Piala Asia 2027,REAL
Harga BBM Pertamax Turun Menjadi Rp 12.500 per Liter Mulai Besok,REAL
"Gempa Magnitudo 5.6 Guncang Wilayah Cianjur, Tidak Berpotensi Tsunami",REAL
Presiden Resmikan Bendungan Terbesar di Jawa Tengah,REAL
KPK Tetapkan Bupati X Sebagai Tersangka Kasus Suap Proyek Jalan,REAL
Google Indonesia Buka Lowongan Kerja untuk Ribuan Talenta Digital,REAL
Festival Kopi Nusantara Kembali Digelar di Jakarta Convention Center,REAL
Polisi Ungkap Sindikat Penipuan Online Modus Undian Berhadiah,REAL
"Cuaca Ekstrem, BMKG Imbau Nelayan Waspada Gelombang Tinggi",REAL
Pembangunan MRT Fase 2A Bundaran HI-Kota Tua Capai 50 Persen,REAL
Bank Indonesia Tahan Suku Bunga Acuan di Level 6 Persen,REAL
Angka Stunting di Indonesia Turun 2 Persen Tahun Ini,REAL
Viral Aksi Heroik Driver Ojol Selamatkan Kucing di Tengah Banjir,REAL
Film 'Karya Anak Bangsa' Raih Penghargaan di Festival Film Cannes,REAL
Kementerian Kesehatan Galakkan Program Imunisasi Nasional,REAL
Polres Metro Jaya Berlakukan Sistem Ganjil Genap 24 Jam di Jalan Protokol,REAL
"Gunung Merapi Kembali Erupsi, Warga Diminta Jauhi Radius 5 KM",REAL
Siswa SMA Asal Surabaya Juarai Olimpiade Matematika Internasional,REAL
Tarif Tol Jagorawi Mengalami Penyesuaian Mulai Minggu Depan,REAL
Kebakaran Hanguskan Puluhan Kios di Pasar Senin,REAL
Pemerintah Bagikan 1 Juta Rice Cooker Gratis untuk Masyarakat,REAL
Gojek dan Tokopedia Resmi Merger Menjadi GoTo,REAL
Kereta Cepat Jakarta-Bandung Tambah Jadwal Perjalanan Harian,REAL
Penelitian Terbaru: Konsumsi Sayur Hijau Kurangi Risiko Diabetes,REAL
Menteri Pendidikan Luncurkan Kurikulum Merdeka Belajar Versi Baru,REAL
"Banjir Bandang Terjang Wilayah Masamba, Tim SAR Dikerahkan",REAL
